dir,common,corpus,blog,com_count
0,"['singvögel', 'und', 'weiterlesen', 'die', 'sie', 'kleinen', 'lacht']","['fortnahm', 'weggewesen', 'vollmondgeschenk']","['ein', 'meinen', 'wieder']",7
1,"['web', 'kristin', 'deutschland', 'akalinka', 'de', 'annette', 'kalina']",[],[],7
2,"['und', 'spaziergang', 'die', 'im', 'der', 'verweilen', 'gedicht', 'einst']","['möwengeschnatter', 'entkeimt']","['nichts', 'sonne']",8
3,"['singvögel', 'kleinen', 'schnäbel', 'fortnahm', 'sturm', 'obwohl', 'die', 'singen', 'gedanken']",['gedicht'],['meinen'],9
5,"['singvögel', 'die', 'sie', 'und', 'weiterlesen', 'kleinen']","['lacht', 'fortnahm', 'weggewesen', 'vollmondgeschenk']","['ein', 'als', 'in', 'noch']",6
6,"['teller', 'klappern', 'sonntagsbraten', 'mägen', 'gekehrt', 'hängen', 'teppich', 'samt', 'sonntag']",['unter'],['werden'],9
7,"['bieten', 'öl', 'strassen', 'regenbogen', 'plätzen', 'kannen', 'birst', 'spiegelt', 'pfützen']",['tassen'],['uns'],9
8,"['vollmondgeschenk', 'schimmern', 'mondlicht', 'krone', 'haupte', 'doofen', 'dir', 'simone']","['gewirkt', 'schenk']","['sollst', 'dunklen']",8
9,"['übermut', 'zapfen', 'weihnachtsgedicht', 'weihnachtsbaum', 'verklungen', 'geläut', 'gazellenhaft', 'betend']","['anhoben', 'glöckchen']","['schlich', 'glocken']",8
10,"['koralle', 'fino', 'lege', 'hals', 'salz', 'hebe', 'schmecke', 'welle']","['sacht', 'lacht']","['fest', 'wünsche']",8
12,"['gedichtservice', 'infos', 'täglicher', 'kalinas', 'tage', 'zum']",[],[],6
13,"['weggewesen', 'vorhänge', 'strolch', 'isser', 'fröstelnd', 'herbstgedicht', 'legen', 'herrn']","['atom', 'ziehen']","['irgendwann', 'wenig']",8
15,"['schwang', 'fahrrad', 'autofenster', 'deinem', 'herz', 'mein', 'als', 'dem', 'aus', 'sich']",[],[],10
17,"['teller', 'klappern', 'strassen', 'sonntagsbraten', 'regenbogen', 'mägen', 'kannen', 'gekehrt']","['birst', 'pfützen']","['öl', 'plätzen']",8
18,"['übermut', 'zapfen', 'weihnachtsgedicht', 'vollmondgeschenk']","['gazellenhaft', 'anhoben', 'betend', 'geläut', 'haupte', 'doofen']","['sie', 'und', 'weihnachtsbaum', 'verklungen', 'sollst', 'schlich']",4
20,"['weggewesen', 'vorhänge', 'strolch', 'isser', 'fröstelnd', 'herbstgedicht', 'legen']","['atom', 'monat', 'archiv']","['herrn', 'november', 'irgendwann']",7
21,"['schwang', 'fahrrad', 'autofenster', 'deinem', 'lächelnd', 'frühlingsblütenhaft', 'herz', 'mein']","['monat', 'archiv']","['mai', 'als']",8
22,"['sonne', 'noch', 'versteckte', 'lichterloh', 'reckte', 'april', 'brannte', 'schlaf']","['monat', 'archiv']","['als', 'fiel']",8
23,"['spaziergang', 'möwengeschnatter', 'webten', 'verweht', 'stiefeln', 'stapfst', 'schnüren']","['antwortgeber', 'fußabdruck', 'gedicht']","['tage', 'durch', 'schwebten']",7
24,"['verweilen', 'versiegelt', 'stoppt', 'kuß', 'im', 'die', 'lippen', 'gedanken']","['fluß', 'kuss']","['jetzt', 'februar']",8
25,"['und', 'nichts', 'sie', 'sturmböe', 'meerjungfrau']","['entkeimt', 'stürmischer', 'gedicht', 'abgrunds', 'prächtiger']","['herum', 'erfasst', 'hab', 'aus', 'nacht']",5
26,"['warten', 'da', 'überarbeite', 'vielgestalt']","['eventeull', 'weiterlesen', 'versiegen', 'andren', 'fliesst', 'atom']","['wollte', 'ist', 'ich', 'alle', 'version', 'spontane']",4
27,"['mund', 'zabaionefarbene', 'verschluckt', 'süßem', 'spiralnebeliger', 'serviert', 'geflüstert', 'geatmet', 'filetiert']",['tropfen'],['september'],9
28,"['dich', 'mein', 'topf', 'gedicht', 'laß', 'du', 'dir']","['einst', 'pferdehimmel', 'eínfach']","['deinen', 'mich', 'ich']",7
29,"['ufo', 'araltankstelle', 'juli', 'bescheid', 'wusste', 'schlaf', 'gebracht', 'gedacht']","['monat', 'archiv']","['anfang', 'hätte']",8
30,"['weichgespült', 'und', 'gedicht', 'tag', 'mandala', 'blütenweiss']","['nässer', 'fleucht', 'seelensalbe', 'kreucht']","['abend', 'am', 'welt', 'ich']",6
31,"['liest', 'evtl', 'weiterlesen', 'ich', 'zurück', 'macht', 'ewigkeit']","['wilber', 'gangaji', 'überrraschungsgast']","['irgendwas', 'zu', 'fahren']",7
32,"['küssen', 'küsst', 'und', 'thema', 'frühlingswiesen', 'sehnen']","['gedicht', 'küssgemeinschaften', 'fliederblüte', 'lieblingspflanze']","['es', 'zum', 'ist', 'er']",6
33,"['sie', 'her', 'pumps', 'wo', 'kommt', 'oh']","['gedicht', 'hackenschuh', 'königin', 'sünderinnen']","['es', 'und', 'der', 'auftritt']",6
