,text,dir,blog,keywords
0,nach dreieinhalb jahren lylo habe ich mich entschlossen dieses blog zu schließen die lylo ist ausgeschrieben es wurde alles schon mehrfach gesagt gedichte kommen derzeit so gut wie keine und wenn dann wird es wieder eine andere richtung geben leben bedeutet entwicklung ich hatte das schon vor einigen jahren da schrieb ich andere gedichte und dann war jahre pause im augenblick arbeite ich wieder an anderen texten ich schreibe ein sachbuch und möchte mich heuer auch meinem nächsten roman widmen da beschäftige ich mich auch beim spazieren gehen mit dieser art texte und steigt deshalb der eros derzeit auch nicht aus den weinbergen ich danke euch für die begleitung viele schöne kontakte konnte ich hier knüpfen freundschaften ins real life ziehen und auch viel lernen ich werde sicher hin und wieder bei euch vorbeischauen und falls es wieder gedichte gibt werde ich es euch wissen lassen wer von mir noch was lesen will der kann sich hier gerne bedienen verlegte bücher autorenexemplare oder mich auf meiner homepage besuchen wie immer wünsche ich euch alles liebe eure lylo evelyne am ps edit d h ich werde das blog nicht schließen ich lasse es natürlich gerne stehen aber ich werde es nicht mehr in der gewohnten form bestücken sondern eher wie eine hp mit texten behandeln ,0,3218,"['ich', 'euch', 'werde', 'es', 'gedichte', 'texten', 'schließen', 'jahren', 'derzeit', 'wieder']"
1,buchpräsentation und nun hier auch die kombination texte stimme gesicht der lylo ich wünsche gute unterhaltung texte stimme gesicht der lylo ich wünsche gute unterhaltung lylo aug abgelegt in wer ist lylo abgelegt in wer ist lylo,1,3218,"['unterhaltung', 'wer', 'texte', 'gute', 'stimme', 'gesicht', 'kombination', 'buchpräsentation', 'wünsche', 'aug']"
2,urheberrecht die inhalte meines blogs lyriclove sind urheberrechtlich geschützt alle rechte liegen bei lylo mit ausnahme der gasttexte diese unterliegen dem copyright ihrer autoren sämtliche texte dürfen ohne schriftliche genehmigung von lylo weder kopiert noch vervielfältigt transferiert vertrieben oder gespeichert werden die gewerbliche nutzung auf anderen internetseiten ist ausdrücklich untersagt nichtgewerbliche veröffentlichung meiner gedichte auf anderen internetseiten ist generell gestattet unter der bedingung der autorenangabe lylo mit direkter verlinkung auf http lyriclove twoday net über eine kurze verständigung würde ich mich jedoch sehr freuen diese generelle erlaubnis kann im einzelfall ohne angabe von gründen jederzeit widerrufen werden haftungshinweis trotz sorgfältiger inhaltlicher kontrolle wird keine haftung für die inhalte externer links und kommentare im blog übernommen für den inhalt der verlinkten seiten und der kommentare im blog sind ausschließlich deren betreiber bzw autoren verantwortlich sollten auf einer hier verlinkten seite rechtswidrige oder unsittliche inhalte gefunden werden bitte ich um mitteilung damit ich diesen link sofort entfernen kann impressum dieser blog wird privat betrieben und dient keinerlei kommerziellen zwecken die inhaberin ist österreicherin und unter lylopost at gmail dot com für anfragen jeglicher art erreichbar backlinks ich weise daraufhin dass ich kommerzielle verlinkungen hier nicht gestatte dies ist ein privater weblog und darf für werbelinks auf kommerzielle seiten nicht genutzt werden wenn ich solche links entdecke werden sie von mir kommentarlos gelöscht ,3,3218,"['inhalte', 'werden', 'verlinkten', 'kommerzielle', 'internetseiten', 'autoren', 'links', 'seiten', 'blog', 'für']"
3,für meine neuen texte lylo jan abgelegt in off lyric,10,3218,"['off', 'texte', 'neuen', 'jan', 'für', 'meine', 'lyric', 'abgelegt']"
4,liebe blogfreunde nach dreieinhalb jahren lylo habe ich mich entschlossen dieses blog zu schließen die lylo ist ausgeschrieben es wurde alles schon mehrfach gesagt gedichte kommen derzeit so gut wie keine und wenn dann wird es wieder eine andere richtung geben leben bedeutet entwicklung ich hatte das schon vor einigen jahren da schrieb ich andere gedichte und dann war jahre pause im augenblick arbeite ich wieder an anderen texten ich schreibe ein sachbuch und möchte mich heuer auch meinem nächsten roman widmen da beschäftige ich mich auch beim spazieren gehen mit dieser art texte und steigt deshalb der eros derzeit auch nicht aus den weinbergen ich danke euch für die begleitung viele schöne kontakte konnte ich hier knüpfen freundschaften ins real life ziehen und auch viel lernen ich werde sicher hin und wieder bei euch vorbeischauen und falls es wieder gedichte gibt werde ich es euch wissen lassen wer von mir noch was lesen will der kann sich hier gerne bedienen verlegte bücher autorenexemplare oder mich auf meiner homepage besuchen wie immer wünsche ich euch alles liebe eure lylo evelyne am ps edit d h ich werde das blog nicht schließen ich lasse es natürlich gerne stehen aber ich werde es nicht mehr in der gewohnten form bestücken sondern eher wie eine hp mit texten behandeln uta traveller apr lylo liebes auch ich habe hier immer gerne gelesen und werde die lylo wohl ein wenig vermissen aber dafür werde ich die evelyne weiter lesen und darauf freue ich mich ich wünsche dir für sachbuch und roman dass du deine projekte so verwirklichen kannst wie du dir das vorstellst und natürlich viel erfolg dafür wir lesen uns lieben gruß uta auch ich habe hier immer gerne gelesen und werde die lylo wohl ein wenig vermissen aber dafür werde ich die evelyne weiter lesen und darauf freue ich mich ich wünsche dir für sachbuch und roman dass du deine projekte so verwirklichen kannst wie du dir das vorstellst und natürlich viel erfolg dafür wir lesen uns lieben gruß uta och nöööööö die welt wird ärmer liebe grüße lo liebe grüße lo möööööönsch lo dass du traurig bist das überrascht mich aber jetzt sehr ich wusste gar nicht dass du mich besuchst das muss ich doch dann glatt noch einmal überdenken reichtum für dich wünscht die lylo das muss ich doch dann glatt noch einmal überdenken reichtum für dich wünscht die lylo elsa gast apr nun liebe freundin ich kann das sehr gut verstehen panta rhei so widme dich deinen neuen aufgaben viel erfolg damit und wir sehen lesen uns weiterhin deine elsie so widme dich deinen neuen aufgaben viel erfolg damit und wir sehen lesen uns weiterhin deine elsie caliente_in_berlin apr verständlich aber sehr sehr schade ganz liebe grüße ganz liebe grüße ja cousinchen die familie zerfällt wohl schön langsam danke für dein verständnis und alles gute für dich aber ich komme immer wieder bei dir vorbei halt auch eher stumm werd aber in zukunft wenigstens grüßlis dalassen danke für dein verständnis und alles gute für dich aber ich komme immer wieder bei dir vorbei halt auch eher stumm werd aber in zukunft wenigstens grüßlis dalassen zaunkoenig apr bis bald bis bald dich deine muse küsst reh volution apr x metamorphisch verhüpfte inspirationen bei zukünftigen eingebungen wünsche ich ganz herzlich auf dem weg zu neuen annäherungen reh metamorphisch verhüpfte inspirationen bei zukünftigen eingebungen wünsche ich ganz herzlich auf dem weg zu neuen annäherungen reh fata morgana apr liebe evelyne fast hab ich befürchtet dass dieser tag kommt ich wünsche dir alles liebe sage ganz herzlichen dank und hoffe wir verlieren uns nicht aus den augen mit lieben grüßen an dich antje fast hab ich befürchtet dass dieser tag kommt ich wünsche dir alles liebe sage ganz herzlichen dank und hoffe wir verlieren uns nicht aus den augen mit lieben grüßen an dich antje liebe antje danke für deine lieben wünsche deren ich mir gewiss war und selbstverständlich verlieren wir einander nicht aus den augen das hat doch mit meinem blog nichts zu tun liebe grüße auch zu dir und selbstverständlich verlieren wir einander nicht aus den augen das hat doch mit meinem blog nichts zu tun liebe grüße auch zu dir bonanzamargot apr melde dich mal bei mir es würde mir leid tun wenn unsere kommunikation abstirbt ansonsten viel glück bei deinen weiteren projekten bon es würde mir leid tun wenn unsere kommunikation abstirbt ansonsten viel glück bei deinen weiteren projekten bon ach bon ich könnt gleich wieder ein streit gespräch mit dir führen denn du kannst dich ja wohl auch bei mir melden ggg aber es ist schon ok denn den kontakt mit dir möchte ich auch nicht mehr missen aber du warst ja sogar an meiner entscheidung nicht ganz unbeteiligt warst doch du derjenige der schon lästerte weil immer wieder nur das gleiche kam und evelylo denkt immer darüber nach wenn jemand was konstruktives sagt man liest sich denn du kannst dich ja wohl auch bei mir melden ggg aber es ist schon ok denn den kontakt mit dir möchte ich auch nicht mehr missen aber du warst ja sogar an meiner entscheidung nicht ganz unbeteiligt warst doch du derjenige der schon lästerte weil immer wieder nur das gleiche kam und evelylo denkt immer darüber nach wenn jemand was konstruktives sagt man liest sich bonanzamargot apr ich meinte das auch eher aufs bloggen bezogen und ich hatte mit meinen kritischen anmerkungen nicht bezweckt dass du dein blog schließt und mir gefiel auch einiges was du schriebst und was ich schon sagte du warst bist mir eine liebe gesprächspartnerin zum diskutieren und wohlgefälligen zanken mach et jut und ich hatte mit meinen kritischen anmerkungen nicht bezweckt dass du dein blog schließt und mir gefiel auch einiges was du schriebst und was ich schon sagte du warst bist mir eine liebe gesprächspartnerin zum diskutieren und wohlgefälligen zanken mach et jut ach bon chen ich wusste schon wie du es meintest und natürlich auch dss du es nicht bezwecktest dass ich mein blog schließe und liebster diese macht hast du doch nicht gg aber du hast es eben schon frühzeitig durchblickt zu einer zeit wo ich noch herumversuchte und ohne unsere zänkereien möchte ich heute nicht mehr leben drum denne bis demnächstens aber du hast es eben schon frühzeitig durchblickt zu einer zeit wo ich noch herumversuchte und ohne unsere zänkereien möchte ich heute nicht mehr leben drum denne bis demnächstens bonanzamargot apr ach es tut immer wieder gut lyloperle von dir zu hören wie gerne du mit mir zänktest helmut maier apr gewiss themen ändern sich obwohl mir manchmal scheint man könne manchen immer wieder etwas neues abgewinnen aber vielleicht nicht so kontinuierlich wie ein blog das erfordert es war jedenfalls immer ein schöner ausflug auf deinem blog zu landen und dass mir deine identität deiner homepage so unverbunden war mit diesem blog da muss ich nachträglich halb lachen halb weinen mach s weiterhin gut und lass dich umarmen liebe grüße helmut es war jedenfalls immer ein schöner ausflug auf deinem blog zu landen und dass mir deine identität deiner homepage so unverbunden war mit diesem blog da muss ich nachträglich halb lachen halb weinen mach s weiterhin gut und lass dich umarmen liebe grüße helmut auch dir ein herzliches danke lieber helmut und auch ein grinsendes hihi wobei ich wirklich nicht arg versessen drauf war meine identität zu verschleiern aber irgendwie fand ich doch dass dies hier ein ganz eigenes genre sei und wollte es deshalb etwas getrennt haben aber ich habe euch doch immer alle hübsch um mich geschart auch als evelyne und umarmungen die nehm ich immer gern von leuten die ich so gern mag drücker zurück und auch ein grinsendes hihi wobei ich wirklich nicht arg versessen drauf war meine identität zu verschleiern aber irgendwie fand ich doch dass dies hier ein ganz eigenes genre sei und wollte es deshalb etwas getrennt haben aber ich habe euch doch immer alle hübsch um mich geschart auch als evelyne und umarmungen die nehm ich immer gern von leuten die ich so gern mag drücker zurück huhu lylo dann sag ich auch mal leise servus wir bleiben in kontakt ja dein entschluss überrascht mich übrigens nicht ich hab ihn aus deinen letzten kommentaren schon beinah vorausgeahnt find ich auch gar nicht tragisch frau muss gelegentlich mal einfach ein projekt für beendet erklären um sich mit ganzer energie etwas neuem widmen zu können schade wär s würdest du all das hier löschen aber das tust du ja eh nicht viel erfolg für deine neuen projekte lg gudrun dein entschluss überrascht mich übrigens nicht ich hab ihn aus deinen letzten kommentaren schon beinah vorausgeahnt find ich auch gar nicht tragisch frau muss gelegentlich mal einfach ein projekt für beendet erklären um sich mit ganzer energie etwas neuem widmen zu können schade wär s würdest du all das hier löschen aber das tust du ja eh nicht viel erfolg für deine neuen projekte lg gudrun selbstverständlich werden auch wir in kontakt bleiben du hast es genau erfasst irgendwann ist zeit für was neues und schließen nein ich sags wies ist da täte mir selber leid drum fröhliche ostern du hast es genau erfasst irgendwann ist zeit für was neues und schließen nein ich sags wies ist da täte mir selber leid drum fröhliche ostern petros gast apr ich reihe mich gerne ein und sage danke für die vielen gedichte für den so liebevollen umgang mit der liebe für das eine oder andere wort das wir tauschten gruß petros gruß petros lieber petros wir verlieren einander auch sicher nicht aus den augen und aus den worten die liebe ist ja nach wie vor mein anliegen und bei dir werde ich da auch immer fündig auch für dich noch schöne ostertage die liebe ist ja nach wie vor mein anliegen und bei dir werde ich da auch immer fündig auch für dich noch schöne ostertage schade liebe lylo aber auf die entwicklung schade liebe lylo ich wünsche dir für deine vorhaben viel erfolg schade denke auch ich weil du die liebe so wunderbar in worte kleidetest doch jedes ding hat seine zeit wer weiß ob dich da nicht doch das eine oder andere gedicht anspringt wir werden es lesen so werde ich dann einmal umschwenken auf deine hp grüßt dich monika herzlich ich wünsche dir für deine vorhaben viel erfolg schade denke auch ich weil du die liebe so wunderbar in worte kleidetest doch jedes ding hat seine zeit wer weiß ob dich da nicht doch das eine oder andere gedicht anspringt wir werden es lesen so werde ich dann einmal umschwenken auf deine hp grüßt dich monika herzlich mamü gast apr liebe lylo manchmal muss man einfach was neues machen das ist doch okay denn du schreibst ja weiter und wenn ich es richtig verstanden habe werden hier vielleicht hin und wieder andere texte erscheinen du bleibst uns also erhalten ich werde einfach ab und zu mal hier vorbei schauen so wie bisher liebe grüße an dich martina manchmal muss man einfach was neues machen das ist doch okay denn du schreibst ja weiter und wenn ich es richtig verstanden habe werden hier vielleicht hin und wieder andere texte erscheinen du bleibst uns also erhalten ich werde einfach ab und zu mal hier vorbei schauen so wie bisher liebe grüße an dich martina ich weiß nicht ob es hier noch neues geben wird aber wenn ich was neues mache dann werde ich es hier vermelden und ich schau sicher auch hin und wieder mal bei dir vorbei bis dann alles liebe aber wenn ich was neues mache dann werde ich es hier vermelden und ich schau sicher auch hin und wieder mal bei dir vorbei bis dann alles liebe fabian gast mai ja lylo so ist wohl das leben sage ich mit meiner mittzwanziger weisheit ich bin traurig über den stopp aber auch gespannt auf neues von dir vielleicht auch irgendwann wieder ein club revival auch zu anderen themen ganz liebe grüße aus berlin fabian ich bin traurig über den stopp aber auch gespannt auf neues von dir vielleicht auch irgendwann wieder ein club revival auch zu anderen themen ganz liebe grüße aus berlin fabian oh fabian hatte deinen kommentar gar nicht gemeldet bekommen du ich danke dir auch sehr herzlich vor allem für die musenküsse im club das hat mir immer sehr viel bedeutet alles liebe zu dir viel glück du ich danke dir auch sehr herzlich vor allem für die musenküsse im club das hat mir immer sehr viel bedeutet alles liebe zu dir viel glück reh volution okt lieber gruß von der waterkant,12,3218,"['ich', 'auch', 'und', 'aber', 'nicht', 'du', 'liebe', 'immer', 'werde', 'für']"
5,von mund zu mund lylo okt abgelegt in lyric lust abgelegt in lyric lust neuere beiträge ältere beiträge,14,3218,"['beiträge', 'mund', 'lust', 'neuere', 'ältere', 'okt', 'lyric', 'abgelegt', 'von', 'zu']"
6,das mutterweib zweite auflage anlässlich der auflage meines romans das mutterweib gibt es nun auch einen video trailer mit lesung das mutterweib roman seiten softcover mit klappen isbn ,18,3218,"['mutterweib', 'auflage', 'softcover', 'romans', 'lesung', 'klappen', 'anlässlich', 'zweite', 'trailer', 'isbn']"
7,lass dich küssen von einer wienerin komm nimm meine hand und ich zeige dir die mutter meiner liebe diese stadt aus deren boden meine liebe sprießt um sie mit dem weichem klang meiner sprache und dem warmen timbre meiner worte über dich zu gießen winterbesuch in wien i frühstück im bett gehüllt in weiße wintersonne die schneebedeckte baumwipfel des wienerwaldes und bizarre eisblumenmuster auf die decke unserer frühstücksliebe zeichnet ii zieh dich warm an wir machen einen rundgang durch die stadt lach doch nicht so bei dieser kälte muss ich einfach einen hut tragen ach wie liebe ich deine lachtränen glücksdiamanten sind sie mit denen du mich schmückst iii hast du kleingeld bei dir ich möchte im stephansdom eine kerze anzünden als dank für dieses jahr der liebe das sich bald dem nächsten zuwendet hörst du die krönungsmesse wie bestellt um meinen prinzen zum könig der liebe zu krönen einen kleinen segen lass uns noch erbitten und dann hinaus hand in hand über den graben gelaufen wie kinder iv schau der demel nein nicht hier kaffee nein komm ins griensteidl dort sinken wir in plüsch und lächeln in geschliffene spiegel in der kleinen nische in der unsere knie aneinander beben v dann flanieren wir arm in arm über die ringstraße zum rathausplatz an der gourmetmeile neben dem buntgetanzten eistraum treffen wir unsere freunde helena und fred zu einem gläschen glühwein einem stanitzel voll maroni und einem singsang aus gewienertem vi nun müssen wir uns beeilen du willst dass ich mein schwarzes kleid anziehe wenn wir in die oper gehen ja die liebe hat bunte flügel glühen deine augen durch die dunkelheit in meine carmen stirbt doch ihre musik weckt unsere leidenschaft wie gut dass wir allein in unserer loge sind vii küss die hand frau lylo sagt herr hans als wir unseren ecktisch in der roten bar im sacher einnehmen du ziehst sie an die lippen und er lächelt wissend der tafelspitz schmeckt wie verheißung der apfelkren wie deine küsse süß und scharf viii eine flasche sekt neben unserem bett und ein diskreter mond der bläuliche schatten von schneebedeckten baumwipfeln des wienerwaldes und bizarre eisblumenmuster auf die decke unserer nachtliebe zeichnet und es geschieht in diesen tagen dass meine liebe gesternt über mir leuchtet und kleine rauschgoldengel in meinem kopf schwirren dann bastle ich für dich einen adventkalender ich schlinge mir eine große rote schleife um den körper mit der mütze des weihnachtsmannes bedecke ich mein beflittertes haar und meine beine strecke ich dir in seinen stiefeln entgegen ich male mir kleine fensterchen auf die haut die du nur mit deinen lippen öffnen kannst und das tor zum allerheiligsten stall umwinde ich mit einer girlande aus zuckerwerk die du wegschlecken musst bevor du eintrittst in das funkelnde lustgeglitzer wo dir aus der göttlichen krippe der himmel meiner liebe erfließt die rauschgoldengel stimmen dann ein süßes halleluja an die sterne fallen in mein herz und in meinem inneren schwingt der glockenklang des wir tanzen will ich ich will deine fragen tanzen und meine antworten wiegen will ich mich in ihrem reiben hineinwippen in ihr gefecht auf den fußballen meines stolzes will ich mich drehen die röcke meiner wut raffen und dir die beine meiner sehnsucht in den falschen klang deiner reden schleudern schwindlig vor liebe will ich dabei sein und schwitzend vor lust nein ich lasse mir von dir den tanz nicht nehmen den tanz der worte das rote lämpchen erlosch dezenter applaus erklang ich zog eine rasche dankbarkeitsbrücke aus meinen augen in die augen des jungen mannes der nun den kleinen eimer zusammenpackte und das große tuch mit welchem er mir in den letzten minuten deine hitze zugefächelt hatte sorgfältig zusammen faltete es entstand etwas unruhe als er die tür aufstieß und hinter ihm meine mitschwitzer die saunakammer verließen dann war alles ruhig und heiß ich schloss die augen und spürte wie du mich als kleines rinnsal an meiner wirbelsäule hinabstreicheltest und der feuchte finger zärtlich in meiner pospalte verschwand ich seufzte und trank noch einmal von deinem heißen atem dann verließ auch ich den ort der glutlust draußen erwartete mich strömender regen ich hob mein gesicht zum himmel und empfing die feuchten küsse die mir die augen leckten und das haar aus der stirn strichen die tropfen schlugen die percussions zum rhythmus meines hitzestöhnenden herzens ich beugte mich weit zurück und ließ den regengott in meine brustspitzen beißen um sie dir in ihrer stolzen aufrichtung darbieten zu können mit kleinen tätschelnden schlägen prasselte er seine forderung auf meinen dampfenden körper ich stampfte mit den beinen auf den weichen boden begann mich unter der göttlichen liebkosung zu wiegen folgte im verströmenden tangoschritt der verheißung meiner feuchten wärme gierte mit offenem mund nach deinen regenküssen und ertrank im fluss meiner lust ,20,3218,"['und', 'die', 'ich', 'der', 'wir', 'meiner', 'den', 'will', 'liebe', 'du']"
8,neuere beiträge ältere beiträge,22,3218,"['beiträge', 'neuere', 'ältere']"
9,findet ihr mich wieder hier ,23,3218,"['findet', 'ihr', 'hier', 'wieder', 'mich']"
